id,模型名,隐藏,输入,输出,context,cutoff,LiveBench,Arena,Arena,AP,APw,SWE,GPQA,MC,SC,AIME25,AIME24,VA,MMMU,LCBv5,TauA,TauR,HLE,HLET,nao逻辑,nao编程,nao视觉,MMMLU,ARC1,IFEval,MP,IQ,LCW,CW,FL,备注,即时,模型全名,API名,显示在列名旁,isModel
100,o3-high,否,10,40,200k(100k),2024.6.1,80.71,,,79.6,,69.1,83.3,56.51,,88.9,91.6,,82.9,,52.0,70.4,20.32,20.57,85,,,88.8,,,,,,,,,否,o3-high,,,是
101,o3,否,10,40,200k(100k),2024.6.1,79.25,,,,,,81.1,59.09,63.4,83,,1304,,,,,19.20,19.78,,,,,53,,,116,77.5,1567,"96.3,94.4",,否,o3,,,是
102,o4-mini-high,否,1.1,4.4,200k(100k),2024.6.1,78.72,,,72,68.9,68.1,81.4,42.99,70.5,92.7,93.4,,81.6,,,,18.08,18.90,80,68,49,,,,,74,,,,,否,o4-mini-high,,,是
103,Gemini 2.5 Pro 0506,否,1.25,10,1M(65K),2025.1.1,78.99,1446,1446,76.9,,63.2,83,49.91,66.4,83,,1375,79.6,75.6,,,17.80,18.38,68,63,61,,,,,,76.4,,"70.4,68.4","V,A",否,Gemini 2.5 Pro 0506,gemini-2.5-pro-preview-05-06,,是
104,Gemini 2.5 Pro 0325,否,,,1M(65K),,76.69,,,72.9,,63.8,84,51.91,,86.7,92,,81.7,70.4,,,18.16,18.38,,64,,,27.6,,86.3,115,80.2,1346,"73.2,60.1","V,A",否,Gemini 2.5 Pro 0325,gemini-2.5-pro-preview-03-25,,是
105,Claude Opus 4 (T),否,15,75,200k(32k),2025.3.1,79.53,,,72,,>72.5,79.6,53.9,65.7,75.5,,,76.5,,59.6,81.4,10.72,10.80,,>78,,88.8,35.7,,,117,,,,,否,Claude Opus 4 (Thinking),claude-opus-4-20250514,,是
106,Claude Sonnet 4 (T),否,3,15,200k(64k),2025.3.1,79.09,,,61.3,,>72.7,75.4,53.12,,70.5,,,74.4,,60.0,80.5,7.76,7.60,68,78,,86.5,40,,,90,,,,,否,Claude Sonnet 4 (Thinking),claude-sonnet-4-20250514,,是
107,DeepSeek R1 0528,否,0.55,2.19,64k(8k),,,,,71.6,,57.6,81.0,44.55,,87.5,91.4,,,73.3,53.5,63.9,,17.7,69,55,,,,,85.0,,,,,无视觉,否, DeepSeek-R1-0528,deepseek-reasoner,,是
108,Claude 3.7 Thinking,否,3,15,200K(64k),2024.11.1,74.5,1371,1371,64.9,64.9,>62.3,78.2,51.58,,,61.3,,75,,58.4,81.2,8.04,7.89,61,65,43,86.1,,93.2,,111,,,"90.7,65.8",数学不好,否,Claude 3.7 Sonnet (Thinking 64k),,,是
109,o4-mini,否,1.1,4.4,200k(100k),2024.6.1,74.4,1379,1379,,,,78,43.83,,83.5,,1269,,,,,14.28,14.53,,,,,41.8,,,106,,,"74.1,61.6",,否,o4-mini,,,是
110,grok-3-mini-beta(high),否,0.3,0.5,131K,,70.25,,,49.3,49.3,,80.3,,,83,90.7,,,74.8,,,,,69,54,,,,,82.8,,,,"72.2,70.9",无视觉,否,Grok 3 Mini Beta (high),,,是
111,Doubao-1.5-thinking-pro,否,0.6,2.2,128k(16k),,,,,54.2,,47,77.3,,63.1,74,86.7,,,64.9,,,,,65,60,,,39.9,87.4,87,,,,,,否,doubao-1-5-thinking-pro-250415,,,是
112,Qwen3-235B-A22B,否,0.3,3,98K(16K),,73.23,,,49.8,,,,40.53,59,81.5,85.7,,,70.7,,,,11.75,,63,,,,,,,71.5,1369,"67.8,-",,否,Qwen 3 235B-A22B,,,是
113,gemini-2.5-flash-0520,否,0.15,3.5,1M(65K),2025.1.1,71.98,1415,1415,56.7,61.9,60.4,82.8,52.62,62.5,72,,1318,79.7,63.9,,,10.96,10.72,55,,,,,,,,,,,"V,A",否,Gemini 2.5 Flash 0520,gemini-2.5-flash-preview-05-20,,是
114,gemini-2.5-flash-0417,否,0.15,3.5,1M(65K),2025.1.1,69.93,,,47.1/42.2,51.1,,78.3,,,78,88,1274,76.7,63.5,,,12.1,12.58,60,32,,,,,,,76.3,,"66.7,63.0","V,A",否,Gemini 2.5 Flash 0417,gemini-2.5-flash-preview-04-17,,是
115,Claude Opus 4 (NT),否,15,75,200k(32k),2025.3.1,71.52,,,70.7,,72.5,74.9,49.37,,33.9,,,73.7,,,,6.68,6.26,60,>76,,87.4,,,,,77.9,,"64.8,52.3",,是,Claude Opus 4 (Non-Thinking),claude-opus-4-20250514,,是
116,deepseek R1,否,0.55,2.19,64k(8k).128k,,72.49,1376,1376,56.9/53.3,,49.2,71.5,32.01,61.9,70.0,79.8,,,64.3/63.5,,,8.6,8.54,,65,,,15.8,83.3,85.6/84.0,81,74.6,1500,"76.8,54.6",无视觉,否,DeepSeek R1,,,是
117,Claude Sonnet 4 (NT),否,3,15,200k(64k),2025.3.1,69.65,,,56.4,,72.7,70,49.63,,33.1,,,72.6,,,,5.52,5.42,52,76,,85.4,,,,,77.4,,"52.7,39.4",,是,Claude Sonnet 4 (Non-Thinking),claude-sonnet-4-20250514,,是
118,Grok 3 Beta,否,3,15,131K,2024.11.17,63.17,1388,1388,53.3,,,75.4,,57.8,,52.2,,73.2,57,,,,,41,,,,,,84.6,75,74.1,1159,"55.6,59.3",,是,Grok 3 Beta,grok-3-latest，grok-3-preview-02-24,,是
119,Claude 3.7,否,3,15,200K(64k),2024.11.1,64.62,,,60.4,,62.3,68,42.89,,,23.3,1208,71.8,,,,,,,59,41,83.2,13.6,90.8,,,77.6,,"54.2,43.9",数学不好,是,Claude 3.7,claude-3-7-sonnet-20250219,,是
120,DeepSeek-V3,否,0.3,1,64k(8k),2024.7.1,62.82,1382,1382,55.1,,,68.4,32.19,60.1,,59.4,,,49.2,,,,4.55,46,51,,,,,81.2,80,78.1,1382,"52.8,-",无视觉,是,DeepSeek-V3-0324,,,是
121,GPT-4.1,否,2,8,1M(32K),2024.6.1,62.99,1392,1392,52.4,51.6,54.6,66.3,38.26,,,48.1,1283,74.8,,49.4,68.0,5.40,4.97,,40,,87.3,5.5,87.4,,,75.7,1355,"60.4,57.9",,是,GPT-4.1,gpt-4.1-2025-04-14,,是
